,Title,Artist,Year,Rank
0,Rolling In The Deep,Adele,2011,1
1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2
2,Firework,Katy Perry,2011,3
3,E.T.,Katy Perry Featuring Kanye West,2011,4
4,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,5
5,Grenade,Bruno Mars,2011,6
6,Super Bass,Nicki Minaj,2011,8
7,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,9
8,Just Can't Get Enough,The Black Eyed Peas,2011,10
9,On The Floor,Jennifer Lopez Featuring Pitbull,2011,11
10,S&M,Rihanna,2011,12
11,Pumped Up Kicks,Foster The People,2011,13
12,Last Friday Night (T.G.I.F.),Katy Perry,2011,14
13,Just The Way You Are,Bruno Mars,2011,15
14,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,16
15,Raise Your Glass,P!nk,2011,17
16,Born This Way,Lady Gaga,2011,18
17,F**kin' Perfect,P!nk,2011,19
18,What's My Name?,Rihanna Featuring Drake,2011,20
19,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,21
20,Down On Me,Jeremih Featuring 50 Cent,2011,22
21,How To Love,Lil Wayne,2011,23
22,Someone Like You,Adele,2011,24
23,Good Life,OneRepublic,2011,25
24, The Lazy Song,Bruno Mars,2011,26
25,Till The World Ends,Britney Spears,2011,27
26,The Show Goes On,Lupe Fiasco,2011,28
27,The Edge Of Glory,Lady Gaga,2011,29
28,We R Who We R,Ke$ha,2011,30
29,Black And Yellow,Wiz Khalifa,2011,31
30,Tonight Tonight,Hot Chelle Rae,2011,32
31,Blow,Ke$ha,2011,33
32,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,34
33,If I Die Young,The Band Perry,2011,35
34,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,36
35, The Time (Dirty Bit),The Black Eyed Peas,2011,37
36,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,38
37,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,39
38,Only Girl (In The World),Rihanna,2011,40
39,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,41
40,Just A Kiss,Lady Antebellum,2011,42
41,Dirt Road Anthem,Jason Aldean,2011,43
42,Dynamite,Taio Cruz,2011,44
43,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,45
44,I Wanna Go,Britney Spears,2011,46
45,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,47
46,You Make Me Feel...,Cobra Starship Featuring Sabi,2011,48
47,Yeah 3X,Chris Brown,2011,49
48,Moment 4 Life,Nicki Minaj Featuring Drake,2011,50
49,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,51
50,Just A Dream,Nelly,2011,52
51,Motivation,Kelly Rowland Featuring Lil Wayne,2011,53
52,Stereo Love,Edward Maya & Vika Jigulina,2011,54
53,Jar Of Hearts,Christina Perri,2011,55
54,Roll Up,Wiz Khalifa,2011,56
55,Sexy And I Know It,LMFAO,2011,57
56,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011,58
57,All Of The Lights,Kanye West,2011,59
58,Hold It Against Me,Britney Spears,2011,60
59,More,Usher,2011, 61
60,What The Hell,Avril Lavigne,2011,62
61,Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,63
62,Bottoms Up,Trey Songz Featuring Nicki Minaj,2011,64
63,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,65
64,For The First Time,The Script,2011,66
65,Honey Bee, Blake Shelton,2011,67
66,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011,68
67,We Found Love,Rihanna Featuring Calvin Harris,2011,69
68,Pretty Girl Rock,Keri Hilson,2011,70
69,You And I,Lady Gaga,2011,71
70,Like A G6,Far*East Movement Featuring Cataracs & Dev,2011,72
71,Without You,David Guetta Featuring Usher,2011,73
72,Back To December,Taylor Swift,2011,74
73,Teenage Dream,Katy Perry,2011,75
74,Crazy Girl,Eli Young Band,2011,76
75,Cheers (Drink To That),Rihanna,2011,77
76,Who Says,Selena Gomez & The Scene,2011,78
77,Barefoot Blue Jean Night,Jake Owen,2011,79
78,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011,80
79,Country Girl (Shake It For Me),Luke Bryan,2011,81
