,Title,Artist,Year,Rank
0,Industry Baby,Lil Nas X & Jack Harlow,2021,1
1,Stay,The Kid LAROI & Justin Bieber,2021,2
2,Fancy Like,Walker Hayes,2021,3
3,Bad Habits,Ed Sheeran,2021,4
4,Way 2 Sexy,Drake Featuring Future & Young Thug,2021,5
5,Good 4 U,Olivia Rodrigo,2021,6
6,Kiss Me More,Doja Cat Featuring SZA,2021,7
7,Levitating,Dua Lipa,2021,8
8,Essence,Wizkid Featuring Justin Bieber & Tems,2021,9
9,Shivers,Ed Sheeran,2021,10
10,Need To Know,Doja Cat,2021,11
11,Heat Waves,Glass Animals,2021,12
12,Save Your Tears,The Weeknd & Ariana Grande,2021,13
13,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021,14
14,Beggin',Maneskin,2021,15
15,You Right,Doja Cat & The Weeknd,2021,16
16,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",2021,17
17,My Universe,Coldplay x BTS,2021,18
18,If I Didn't Love You,Jason Aldean & Carrie Underwood,2021,19
19,Montero (Call Me By Your Name),Lil Nas X,2021,20
20,Traitor,Olivia Rodrigo,2021,21
21,Girls Want Girls,Drake Featuring Lil Baby,2021,22
22,Chasing After You,Ryan Hurd With Maren Morris,2021,23
23,Take My Breath,The Weeknd,2021,24
24,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021,25
25,Thats What I Want,Lil Nas X,2021,26
26,Pepas,Farruko,2021,27
27,My Boy,Elvie Shane,2021,28
28,Wockesha,Moneybagg Yo,2021,29
29,Happier Than Ever,Billie Eilish,2021,30
30,Love Nwantiti (Ah Ah Ah),CKay,2021,31
31,Ghost,Justin Bieber,2021,32
32,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,2021,33
33,A-O-K,Tai Verdes,2021,34
34,Memory I Don't Mess With,Lee Brice,2021,35
35,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,2021,36
36,I Was On A Boat That Day,Old Dominion,2021,37
37,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021,38
38,Fair Trade,Drake Featuring Travis Scott,2021,39
39,Buy Dirt,Jordan Davis Featuring Luke Bryan,2021,40
40,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021,41
41,Deja Vu,Olivia Rodrigo,2021,42
42,You Should Probably Leave,Chris Stapleton,2021,43
43,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,2021,44
44,Cold As You,Luke Combs,2021,45
45,Gyalis,Capella Grey,2021,46
46,Love Again,Dua Lipa,2021,47
47,Leave Before You Love Me,Marshmello X Jonas Brothers,2021,48
48,Family Ties,Baby Keem & Kendrick Lamar,2021,49
49,Hurricane,Kanye West,2021,50
50,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",2021,51
51,Wild Side,Normani Featuring Cardi B,2021,52
52,Flocky Flocky,Don Toliver Featuring Travis Scott,2021,53
53,Have Mercy,Chloe,2021,54
54,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,2021,55
55,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",2021,56
56,Late At Night,Roddy Ricch,2021,57
57,2055,Sleepy Hallow,2021,58
58,Whole Lotta Money,BIA Featuring Nicki Minaj,2021,59
59,Memory,Kane Brown X blackbear,2021,60
60,Esta Danada,Ivan Cornejo,2021,61
61,Knowing You,Kenny Chesney,2021,62
62,Woman,Doja Cat,2021,63
63,Same Boat,Zac Brown Band,2021,64
64,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,2021,65
65,Too Easy,Gunna & Future,2021,66
66,Volvi,Aventura x Bad Bunny,2021,67
67,Easy On Me,Adele,2021,68
68,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,2021,69
69,Todo de Ti,Rauw Alejandro,2021,70
70,Thot Shit,Megan Thee Stallion,2021,71
71,Sand In My Boots,Morgan Wallen,2021,72
72,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,2021,73
73,No Friends In The Industry,Drake,2021,74
74,WFM,Realestk,2021,75
75,Yonaguni,Bad Bunny,2021,76
76,Champagne Poetry,Drake,2021,77
77,One Mississippi,Kane Brown,2021,78
78,Get Into It (Yuh),Doja Cat,2021,79
79,You Time,Scotty McCreery,2021,80
80,Your Heart,Joyner Lucas & J. Cole,2021,81
81,Whiskey And Rain,Michael Ray,2021,82
82,In The Bible,Drake Featuring Lil Durk & Giveon,2021,83
83,Summer Of Love,Shawn Mendes & Tainy,2021,84
84,Maybach,42 Dugg Featuring Future,2021,85
85,Tequila Little Time,Jon Pardi,2021,86
86,Waves,Luke Bryan,2021,87
87,Freedom Was A Highway,Jimmie Allen & Brad Paisley,2021,88
88,Nevada,YoungBoy Never Broke Again,2021,89
89,Like A Lady,Lady A,2021,90
90,Life Goes On,Oliver Tree,2021,91
91,Woo Baby,Pop Smoke Featuring Chris Brown,2021,92
92,Life Support,YoungBoy Never Broke Again,2021,93
93,'Til You Can't,Cody Johnson,2021,94
94,Who's In Your Head,Jonas Brothers,2021,95
95,Ain't Shit,Doja Cat,2021,96
96,Just About Over You,Priscilla Block,2021,97
97,For Tonight,Giveon,2021,98
98,Praise God,Kanye West,2021,99
99,Bad Morning,YoungBoy Never Broke Again,2021,100
