,Title,Artist,Year,Rank,Genre,Spotify Song ID
0,Rolling In The Deep,Adele,2011,1,"british soul, pop, pop soul, uk pop",1c8gk2PeTE04A1pIDH9YMk
1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2,"dance pop, pop rap",0IkKz2J93C94Ei4BvDop7P
2,Firework,Katy Perry,2011,3,"dance pop, pop, pop rap, post-teen pop",4r6eNCsrZnQWJzzvFh4nlg
3,E.T.,Katy Perry Featuring Kanye West,2011,4,"dance pop, pop, pop rap, post-teen pop, chicago rap, rap",36ux3YuUsGTWPT8fXclS45
4,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,5,"pop, pop rap, dance pop",4QNpBfC0zvjKqPJcyqBy9W
5,Grenade,Bruno Mars,2011,6,"dance pop, pop",2tJulUYLDKOg9XrtVkMgcJ
6,Super Bass,Nicki Minaj,2011,8,"dance pop, hip pop, pop, pop rap, queens hip hop",3hlksXnvbKogFdPbpO9vel
7,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011,9,pop,7LcfRTgAVTs5pQGEQgUEzN
8,Just Can't Get Enough,The Black Eyed Peas,2011,10,"dance rock, new romantic, new wave, permanent wave, synthpop",0xuXRQJfxmdP6gvfDe2Z4L
9,On The Floor,Jennifer Lopez Featuring Pitbull,2011,11,"pop, pop rap, dance pop",3C0nOe05EIt1390bVABLyN
10,S&M,Rihanna,2011,12,"barbadian pop, dance pop, pop, pop rap, urban contemporary",7ySUcLPVX7KudhnmNcgY2D
11,Pumped Up Kicks,Foster The People,2011,13,"indietronica, modern alternative rock, modern rock, pop rock, rock",7w87IxuO7BDcJ3YUqCyMTT
12,Last Friday Night (T.G.I.F.),Katy Perry,2011,14,"dance pop, pop, pop rap, post-teen pop",3avYqdwHKEq8beXbeWCKqJ
13,Just The Way You Are,Bruno Mars,2011,15,"dance pop, pop",7BqBn9nzAq8spo5e7cZ0dJ
14,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011,16,slap house,47gk2DKARbcjyWQVZznuqu
15,Raise Your Glass,P!nk,2011,17,"dance pop, pop",1gv4xPanImH17bKZ9rOveR
16,Born This Way,Lady Gaga,2011,18,"dance pop, pop",6r2BECwMgEoRb5yLfp0Hca
17,F**kin' Perfect,P!nk,2011,19,"dance pop, pop",3MGJF1CDFGfjXESL2Heva0
18,What's My Name?,Rihanna Featuring Drake,2011,20,"barbadian pop, dance pop, pop, pop rap, urban contemporary, canadian hip hop, canadian pop, hip hop, rap, toronto rap",6DkXLzBQT7cwXmTyzAB1DJ
19,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,21,"hip hop, pop rap, rap",3hsmbFKT5Cujb5GQjqEU39
20,Down On Me,Jeremih Featuring 50 Cent,2011,22,"hip hop, pop rap",0x3TibRgnSqzkcwrqBd4iX
21,How To Love,Lil Wayne,2011,23,"hip hop, new orleans rap, pop rap, rap, trap",36IZGm2IuECLTxMKa9qajO
22,Someone Like You,Adele,2011,24,"british soul, pop, pop soul, uk pop",1zwMYTA5nlNjZxYrvBB2pV
23,Good Life,OneRepublic,2011,25,rap,14blxrgE0VWAgv5aF2wWmx
24, The Lazy Song,Bruno Mars,2011,26,"dance pop, pop",1ExfPZEiahqhLyajhybFeS
25,Till The World Ends,Britney Spears,2011,27,"dance pop, pop, post-teen pop",38iU2jg98IZZEIJPrP7aWD
26,The Show Goes On,Lupe Fiasco,2011,28,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",4NTWZqvfQTlOMitlVn6tew
27,The Edge Of Glory,Lady Gaga,2011,29,"dance pop, pop",0JNdS1n0ifOP25XvhwAMgM
28,We R Who We R,Ke$ha,2011,30,"dance pop, electropop, pop, post-teen pop",3LUWWox8YYykohBbHUrrxd
29,Black And Yellow,Wiz Khalifa,2011,31,"dance pop, hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",5A6OHHy73AR5tLxgTc98zz
30,Tonight Tonight,Hot Chelle Rae,2011,32,"dance pop, dance rock, neon pop punk, pop, pop punk, pop rap, pop rock, post-teen pop, viral pop",2i0AUcEnsDm3dsqLrFWUCq
31,Blow,Ke$ha,2011,33,"dance pop, electropop, pop, post-teen pop",3pYDZTJM2tVBUhIRifWVzI
32,Lighters,Bad Meets Evil Featuring Bruno Mars,2011,34,"detroit hip hop, gangster rap, hip hop, pop rap, rap, dance pop, pop",5zpDHEU12zATwLGvozxPw2
33,If I Die Young,The Band Perry,2011,35,"contemporary country, country, country dawn, country road, modern country rock",4u26EevCNXMhlvE1xFBJwX
34,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011,36,"dance pop, pop rap",0qOnSQQF0yzuPWsXrQ9paz
35, The Time (Dirty Bit),The Black Eyed Peas,2011,37,"dance pop, pop, pop rap",7vWFaMq63AwkFDhS2OAg5u
36,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011,38,modern blues,65GbQI9VDTs7vo6MJL2iJA
37,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011,39,"pop, pop rap, dance pop",3rfhI32Il2hVRKDkuGeeen
38,Only Girl (In The World),Rihanna,2011,40,"barbadian pop, dance pop, pop, pop rap, urban contemporary",2ENexcMEMsYk0rVJigVD3i
39,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011,41,"hip hop, new orleans rap, pop rap, rap, trap, nyc rap",6BCs8vxnGgKL9eMCOrG2wm
40,Just A Kiss,Lady Antebellum,2011,42,-,-
41,Dirt Road Anthem,Jason Aldean,2011,43,"contemporary country, country, country road",2qYsSHsYkihWx043HVJQRV
42,Dynamite,Taio Cruz,2011,44,"k-pop, k-pop boy group",4saklk6nie3yiGePpBwUoc
43,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011,45,"hip hop, pop rap, southern hip hop, rap, gangster rap, atl hip hop, trap",03tqyYWC9Um2ZqU0ZN849H
44,I Wanna Go,Britney Spears,2011,46,"dance pop, pop, post-teen pop",5cCAZS9VhLGEDV4NCfieeg
45,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,47,"hip hop, pop rap, southern hip hop, rap, trap",608a1wIsSd5KzMEqm1O7w3
46,You Make Me Feel...,Cobra Starship Featuring Sabi,2011,48,"dance pop, neon pop punk, pop punk, post-teen pop",16Of7eeW44kt0a1M0nitHM
47,Yeah 3X,Chris Brown,2011,49,"dance pop, pop, pop rap, r&b, rap",2QtxlzvSBONjs1bDC34ixs
48,Moment 4 Life,Nicki Minaj Featuring Drake,2011,50,"dance pop, hip pop, pop, pop rap, queens hip hop, canadian hip hop, canadian pop, hip hop, rap, toronto rap",1ia019RqDK2o4QiANR1Dyn
49,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011,51,"hip hop, rap",70ATm56tH7OrQ1zurYssz0
